title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Body,Flavor,Aftertaste,With Milk,Acidity/Structure
Kenya AA Aries Return Espresso,Simon Hsieh Aroma Roast Coffees,96,"Taoyuan, Taiwan","Nyeri growing region, south-central Kenya",Medium,44/60,NT $950/8 ounces,November 2024,9,9,9,9,10,
Kenya All’s Well Peaberry Espresso,Simon Hsieh Aroma Roast Coffees,96,"Taoyuan, Taiwan","Nyeri growing region, south-central Kenya",Medium,46/72,NT $900/8 ounces,November 2024,9,9,10,9,9,
Espresso No. 6 Finca San José Ocaña,El Gran Cafe,96,"Antigua Guatemala, Guatemala","San Juan Sacatepéquez, Antigua Department, Guatemala",Medium,50/64,$25.00/12 ounces,November 2024,9,9,9,9,10,
Guatemala Finca Santa Isabel SL28 COE #13,El Gran Cafe,93,"Antigua Guatemala, Guatemala","San Cristobal Verapaz, Alta Verapaz, Antigua Department, Guatemala",Medium,52/60,$47.00/12 ounces,November 2024,9,8,9,8,,9
Kahiko Orange,Hula Daddy Kona Coffee,98,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,54/84,$99.95/8 ounces,November 2024,10,9,10,9,,10
Kenya Washed Yara Estate PB TOP,Kakalove Cafe,97,"Chia-Yi, Taiwan","Ruiru, Kiambu County, south-central Kenya",Medium-Light,58/80,NT $300/4 ounces,November 2024,9,9,10,9,,10
Kona Orange,Hula Daddy Kona Coffee,96,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Light,58/84,$79.95/8 ounces,November 2024,9,9,10,9,,9
Colombia Wilton Benitez Sudan Rume,Utopian Coffee,96,"Fort Wayne, Indiana","Piendamo, Cauca Department, Colombia",Light,64/84,$29.00/8 ounces,November 2024,9,9,10,9,,9
Ethiopia Washed Gute 74110 Lot JH,Kakalove Cafe,95,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,60/82,NT $480/8 ounces,November 2024,9,9,9,9,,9
Ethiopia Natural Sidama Bura Karamo 74158,Kakalove Cafe,95,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,57/88,NT $480/8 ounces,November 2024,9,9,9,9,,9
Taiwan Honey Alishan Ming Yang Yuan Gesha,Kakalove Cafe,95,"Chia-Yi, Taiwan","Alishan, Taiwan",Light,62/84,"NT $1,110/4 ounces",November 2024,9,9,9,9,,9
Kenya Washed Kiambu AB TOP Lot Yerihar,Kakalove Cafe,94,"Chia-Yi, Taiwan","Kiambu County, south-central Kenya",Medium-Light,58/78,NT $350/8 ounces,November 2024,9,9,9,8,,9
Kenya Ibonia Estate,Roadmap CoffeeWorks,95,"Lexington, Virginia","Kiambu County, Kenya",Medium-Light,58/80,$24.00/12 ounces,November 2024,9,9,9,9,,9
Ethiopia Worka Sakaro,Roadmap CoffeeWorks,94,"Lexington, Virginia","Gedeb District, Gedeo Zone, southern Ethiopia",Light,62/86,$27.00/12 ounces,November 2024,9,9,9,9,,8
Guatemala Washed Huehuetenango Joya Verde,Kakalove Cafe,94,"Chia-Yi, Taiwan","Huehuetenango, Guatemala",Medium-Light,56/74,NT $260/8 ounces,November 2024,9,9,9,8,9,
Ethiopia Washed Guji Uraga Tebe Burka,Kakalove Cafe,94,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/80,NT $330/8 ounces,November 2024,9,9,9,8,,9
Colombia Decaf Granja Paraiso 92,Kakalove Cafe,93,"Chia-Yi, Taiwan","Piendamo, Cauca Department, Colombia",Medium-Light,57/78,NT $330/8 ounce,November 2024,9,9,9,8,,8
Ethiopia Natural Sidama ALO Village SKY Project FL,Kakalove Cafe,94,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Medium-Light,60/77,NT $490/4 ounces,November 2024,8,9,9,9,,9
Taiwan Natural Alishan Chi Tsai Liu Li Ecological Farm,Kakalove Cafe,94,"Chia-Yi, Taiwan","Alishan, Taiwan",Medium-Light,60/77,"NT $1,100/4 ounces",November 2024,9,9,9,8,,9
Wilton Benitez SL28,JBC Coffee Roasters,96,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",Medium-Light,58/82,$33.00/8 ounces,November 2024,9,9,10,9,,9
Kolla Bolcha #6 Ethiopia,JBC Coffee Roasters,94,"Madison, Wisconsin","Agaro, Oromia region, Ethiopia",Medium-Light,60/79,$20.00/12 ounces,November 2024,9,8,9,9,,9
Bener Meriah Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin","Aceh, Sumatra, Indonesia",Medium-Light,59/77,$20.00/12 ounces,November 2024,9,9,9,8,,9
Ethiopia Yirgacheffe Hama Honey,Cozy House Coffee,95,"Taipei City, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,59/81,NT $600/227 grams,November 2024,9,9,9,9,,9
Colombia Finca Santuario Red Bourbon Natural,Cozy House Coffee,95,"Taipei City, Taiwan","Cauca Department, Colombia",Light,62/94,NT $600/227 grams,November 2024,9,9,9,9,,9
Ethiopia Yirgacheffe Gutiti Gargari Natural,Cozy House Coffee,94,"Taipei City, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,60/77,NT $450/227 grams,November 2024,9,9,9,8,,9
130 Blend,Jaunt Coffee Roasters,94,"San Diego, California",Guatemala; Ethiopia,Medium-Light,55/79,$19.00/12 ounces,November 2024,9,9,9,8,,9
Fruits Melody,Coffeeland,94,"Chia-Yi, Taiwan",Ethiopia,Light,65/81,NT $390/227 grams,November 2024,9,9,9,8,,9
Matriarch,Jaunt Coffee Roasters,93,"San Diego, California",Brazil; Guatemala; Ethiopia,Medium-Light,56/74,$19.00/12 ounces,November 2024,9,9,9,8,,8
Murphinator,Jaunt Coffee Roasters,92,"San Diego, California","Mexico, Papua New Guinea",Medium,47/65,$18.00/12 ounces,November 2024,8,9,9,8,,8
Taiwan Symphony,Coffeeland,92,"Chia-Yi, Taiwan",Taiwan,Medium-Light,60/78,NT $1220/227 grams,November 2024,9,8,9,8,,8
Blue Notes,Coffeeland,91,"Chia-Yi, Taiwan",Guatemala; Colombia; Brazil; Myanmar,Medium-Light,58/76,NT $480/227 grams,November 2024,8,8,9,8,,8
Ethiopia Dale,Speedwell Coffee,93,"Plymouth, Massachusetts","Wensho Woreda, Sidamo growing region, Ethiopia",Light,62/80,$17.00/12 ounces,October 2024,9,8,9,8,,9
